,name,starting_median_salary,zip,tier,sat_avg_2013,asian_or_pacific_share,black_share,hisp_share,alien_share,city,population_in_2010,par_median
0,Stanford University,70400.0,94305,1,1475.0,0.20999239,0.073294446,0.086482376,0.040451434,Stanford,13809,172600
1,Harvey Mudd College,71800.0,91711,2,1494.0,0.21059972,0.0041841003,0.040446304,0.034867503,Claremont,34926,139800
2,Occidental College,51900.0,90041,2,1300.0,0.18085732,0.061655901,0.14034058,0.041691132,Los Angeles,9818605,122400
3,Pomona College,48600.0,91711,2,1460.0,0.13722999,0.037484117000000004,0.07623888599999999,0.019695044,Claremont,34926,161600
4,Humboldt State University,42600.0,95521,5,985.0,0.031071262000000002,0.024115009,0.082392953,0.0044829184,Arcata,17231,96000
5,Seattle University,48300.0,98122,6,1170.0,0.20133212,0.048743565,0.051468361,0.10142295,Seattle,608660,105700
6,Reed College,40500.0,97202,2,1385.0,0.047584187,0.005856515400000001,0.03660322,0.03147877,Portland,583776,121900
7,Whitman College,43500.0,99362,2,1315.0,0.0625,0.012640449,0.028089887999999997,0.021769662999999998,Walla Walla,58920,138200
8,New Mexico State University,44300.0,88003,5,957.5,0.014642691999999999,0.026748192999999996,0.43717268,0.013343686,Las Cruces,97618,59300
9,Utah State University,43800.0,84322,5,1050.0,0.012009161,0.0046360944,0.018153382,0.024353458999999997,Logan City,48174,91300
10,Gonzaga University,44900.0,99258,4,1195.0,0.050347798,0.010930772,0.027823782999999998,0.023186486,Spokane,196993,121100
11,Western Washington University,42700.0,98225,5,1105.0,0.073158078,0.017035628,0.02576963,0.0083881011,Bellingham,80885,108100
12,Regis University,48300.0,80221,6,1070.0,0.023136247000000002,0.035806097,0.078773409,0.0082629453,Denver,600158,121400
15,Eastern Washington University,38600.0,99004,5,960.0,0.033038191,0.024844721,0.03475618,0.03052729,Cheney ,10590,85900
16,Fort Lewis College,42000.0,81301,5,1061.0,0.0098016337,0.0093348892,0.045974329,0.021703617999999997,Durango,16887,90600
17,Southern Utah University,41900.0,84720,5,1025.0,0.011520335,0.0054110666,0.016582301,0.022167917000000002,Cedar City,28857,81700
